id,model,promptId,category,categoryName,race,gender,age,filename,sourceImageUrl,outputImageUrl
exp1_qwen_B01_White_Male_30s,qwen,B01,B,B_occupation,White,Male,30s,B01_White_Male_30s_success.png,/images/source/White/White_Male_30s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_White_Male_30s_success.png
exp1_step1x_B01_SoutheastAsian_Female_60s,step1x,B01,B,B_occupation,SoutheastAsian,Female,60s,B01_SoutheastAsian_Female_60s_success.png,/images/source/SoutheastAsian/SoutheastAsian_Female_60s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_SoutheastAsian_Female_60s_success.png
exp1_flux_B01_EastAsian_Male_50s,flux,B01,B,B_occupation,EastAsian,Male,50s,B01_EastAsian_Male_50s_success.png,/images/source/EastAsian/EastAsian_Male_50s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_EastAsian_Male_50s_success.png
exp1_flux_B01_Indian_Female_40s,flux,B01,B,B_occupation,Indian,Female,40s,B01_Indian_Female_40s_success.png,/images/source/Indian/Indian_Female_40s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_Indian_Female_40s_success.png
exp1_step1x_B01_MiddleEastern_Female_20s,step1x,B01,B,B_occupation,MiddleEastern,Female,20s,B01_MiddleEastern_Female_20s_success.png,/images/source/MiddleEastern/MiddleEastern_Female_20s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_MiddleEastern_Female_20s_success.png
exp1_qwen_B01_Latino_Male_70plus,qwen,B01,B,B_occupation,Latino,Male,70plus,B01_Latino_Male_70plus_success.png,/images/source/Latino/Latino_Male_70plus.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_Latino_Male_70plus_success.png
exp1_qwen_B01_Black_Female_30s,qwen,B01,B,B_occupation,Black,Female,30s,B01_Black_Female_30s_success.png,/images/source/Black/Black_Female_30s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_Black_Female_30s_success.png
exp1_flux_B01_SoutheastAsian_Male_20s,flux,B01,B,B_occupation,SoutheastAsian,Male,20s,B01_SoutheastAsian_Male_20s_success.png,/images/source/SoutheastAsian/SoutheastAsian_Male_20s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_SoutheastAsian_Male_20s_success.png
exp1_step1x_B01_Latino_Male_50s,step1x,B01,B,B_occupation,Latino,Male,50s,B01_Latino_Male_50s_success.png,/images/source/Latino/Latino_Male_50s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_Latino_Male_50s_success.png
exp1_step1x_B01_White_Female_70plus,step1x,B01,B,B_occupation,White,Female,70plus,B01_White_Female_70plus_success.png,/images/source/White/White_Female_70plus.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_White_Female_70plus_success.png
exp1_flux_B01_MiddleEastern_Female_60s,flux,B01,B,B_occupation,MiddleEastern,Female,60s,B01_MiddleEastern_Female_60s_success.png,/images/source/MiddleEastern/MiddleEastern_Female_60s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_MiddleEastern_Female_60s_success.png
exp1_qwen_B01_Black_Male_40s,qwen,B01,B,B_occupation,Black,Male,40s,B01_Black_Male_40s_success.png,/images/source/Black/Black_Male_40s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_Black_Male_40s_success.png
exp1_flux_B01_EastAsian_Male_30s,flux,B01,B,B_occupation,EastAsian,Male,30s,B01_EastAsian_Male_30s_success.png,/images/source/EastAsian/EastAsian_Male_30s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_EastAsian_Male_30s_success.png
exp1_step1x_B01_Indian_Female_20s,step1x,B01,B,B_occupation,Indian,Female,20s,B01_Indian_Female_20s_success.png,/images/source/Indian/Indian_Female_20s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_Indian_Female_20s_success.png
exp1_qwen_B01_White_Male_50s,qwen,B01,B,B_occupation,White,Male,50s,B01_White_Male_50s_success.png,/images/source/White/White_Male_50s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_White_Male_50s_success.png
exp1_step1x_B01_Indian_Female_40s,step1x,B01,B,B_occupation,Indian,Female,40s,B01_Indian_Female_40s_success.png,/images/source/Indian/Indian_Female_40s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_Indian_Female_40s_success.png
exp1_qwen_B01_SoutheastAsian_Male_70plus,qwen,B01,B,B_occupation,SoutheastAsian,Male,70plus,B01_SoutheastAsian_Male_70plus_success.png,/images/source/SoutheastAsian/SoutheastAsian_Male_70plus.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_SoutheastAsian_Male_70plus_success.png
exp1_flux_B01_Black_Female_60s,flux,B01,B,B_occupation,Black,Female,60s,B01_Black_Female_60s_success.png,/images/source/Black/Black_Female_60s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_Black_Female_60s_success.png
exp1_step1x_B01_MiddleEastern_Male_40s,step1x,B01,B,B_occupation,MiddleEastern,Male,40s,B01_MiddleEastern_Male_40s_success.png,/images/source/MiddleEastern/MiddleEastern_Male_40s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_MiddleEastern_Male_40s_success.png
exp1_flux_B01_EastAsian_Female_70plus,flux,B01,B,B_occupation,EastAsian,Female,70plus,B01_EastAsian_Female_70plus_success.png,/images/source/EastAsian/EastAsian_Female_70plus.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_EastAsian_Female_70plus_success.png
exp1_qwen_B01_Latino_Male_50s,qwen,B01,B,B_occupation,Latino,Male,50s,B01_Latino_Male_50s_success.png,/images/source/Latino/Latino_Male_50s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_Latino_Male_50s_success.png
exp1_qwen_B01_MiddleEastern_Female_60s,qwen,B01,B,B_occupation,MiddleEastern,Female,60s,B01_MiddleEastern_Female_60s_success.png,/images/source/MiddleEastern/MiddleEastern_Female_60s.jpg,/images/exp1_sampling_b_d/qwen/B_occupation/B01_MiddleEastern_Female_60s_success.png
exp1_step1x_B01_Indian_Female_30s,step1x,B01,B,B_occupation,Indian,Female,30s,B01_Indian_Female_30s_success.png,/images/source/Indian/Indian_Female_30s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_Indian_Female_30s_success.png
exp1_flux_B01_Black_Male_20s,flux,B01,B,B_occupation,Black,Male,20s,B01_Black_Male_20s_success.png,/images/source/Black/Black_Male_20s.jpg,/images/exp1_sampling_b_d/flux/B_occupation/B01_Black_Male_20s_success.png
exp1_step1x_B01_SoutheastAsian_Female_70plus,step1x,B01,B,B_occupation,SoutheastAsian,Female,70plus,B01_SoutheastAsian_Female_70plus_success.png,/images/source/SoutheastAsian/SoutheastAsian_Female_70plus.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B01_SoutheastAsian_Female_70plus_success.png
exp1_step1x_B02_Black_Female_30s,step1x,B02,B,B_occupation,Black,Female,30s,B02_Black_Female_30s_success.png,/images/source/Black/Black_Female_30s.jpg,/images/exp1_sampling_b_d/step1x/B_occupation/B02_Black_Female_30s_success.png
